Run-time: 0.4219489097595215 seconds
Total allocated memory size: 81.5 KiB
Algorithm: GA-GRAANK (v2.0)
No. of (dataset) attributes: 11
No. of (dataset) tuples: 589
Population size: 5
PC: 0.01
Minimum support: 0.5
Number of cores: 4
Number of patterns: 1
Number of iterations: 100

0. Age
1. ALB
2. ALP
3. ALT
4. AST
5. BIL
6. CHE
7. CHOL
8. CREA
9. GGT
10. PROT

File: ../data/hcv_data.csv

Pattern : Support
['0+', '2+'] : 0.546


Iterations 
Iteration: Best Cost
0: 0.00020275750202757503 
1: 0.00020275750202757503 
2: 0.00020275750202757503 
3: 0.00020275750202757503 
4: 0.00020275750202757503 
5: 0.00020275750202757503 
6: 0.00020275750202757503 
7: 0.00020275750202757503 
8: 0.00020275750202757503 
9: 0.00020275750202757503 
10: 0.00020275750202757503 
11: 0.00020275750202757503 
12: 0.00020275750202757503 
13: 0.00020275750202757503 
14: 0.00020275750202757503 
15: 0.00020275750202757503 
16: 0.00020275750202757503 
17: 0.00020275750202757503 
18: 0.00020275750202757503 
19: 0.00020275750202757503 
20: 0.00020275750202757503 
21: 0.00020275750202757503 
22: 0.00020275750202757503 
23: 0.00020275750202757503 
24: 0.00020275750202757503 
25: 0.00020275750202757503 
26: 0.00020275750202757503 
27: 0.00020275750202757503 
28: 0.00020275750202757503 
29: 0.00020275750202757503 
30: 0.00020275750202757503 
31: 0.00020275750202757503 
32: 0.00020275750202757503 
33: 0.00020275750202757503 
34: 0.00020275750202757503 
35: 0.00020275750202757503 
36: 0.00020275750202757503 
37: 0.00020275750202757503 
38: 0.00020275750202757503 
39: 0.00020275750202757503 
40: 0.00020275750202757503 
41: 0.00020275750202757503 
42: 0.00020275750202757503 
43: 0.00020275750202757503 
44: 0.00020275750202757503 
45: 0.00020275750202757503 
46: 0.00020275750202757503 
47: 0.00020275750202757503 
48: 0.00020275750202757503 
49: 0.00020275750202757503 
50: 0.00020275750202757503 
51: 0.00020275750202757503 
52: 0.00020275750202757503 
53: 0.00020275750202757503 
54: 0.00020275750202757503 
55: 0.00020275750202757503 
56: 0.00020275750202757503 
57: 0.00020275750202757503 
58: 0.00020275750202757503 
59: 0.00020275750202757503 
60: 0.00020275750202757503 
61: 0.00020275750202757503 
62: 0.00020275750202757503 
63: 0.00020275750202757503 
64: 0.00020275750202757503 
65: 0.00020275750202757503 
66: 0.00020275750202757503 
67: 0.00020275750202757503 
68: 0.00020275750202757503 
69: 0.00020275750202757503 
70: 0.00020275750202757503 
71: 0.00020275750202757503 
72: 0.00020275750202757503 
73: 0.00020275750202757503 
74: 0.00020275750202757503 
75: 0.00020275750202757503 
76: 0.00020275750202757503 
77: 0.00020275750202757503 
78: 0.00020275750202757503 
79: 0.00020275750202757503 
80: 0.00020275750202757503 
81: 0.00020275750202757503 
82: 0.00020275750202757503 
83: 0.00020275750202757503 
84: 0.00020275750202757503 
85: 0.00020275750202757503 
86: 0.00020275750202757503 
87: 0.00020275750202757503 
88: 0.00020275750202757503 
89: 0.00020275750202757503 
90: 0.00020275750202757503 
91: 0.00020275750202757503 
92: 0.00020275750202757503 
93: 0.00020275750202757503 
94: 0.00020275750202757503 
95: 0.00020275750202757503 
96: 0.00020275750202757503 
97: 0.00020275750202757503 
98: 0.00020275750202757503 
99: 0.00020275750202757503 
